Image,Class,Nose_X,Nose_Y,Nose_Confidence,Left_Eye_X,Left_Eye_Y,Left_Eye_Confidence,Right_Eye_X,Right_Eye_Y,Right_Eye_Confidence,Left_Ear_X,Left_Ear_Y,Left_Ear_Confidence,Right_Ear_X,Right_Ear_Y,Right_Ear_Confidence,Left_Shoulder_X,Left_Shoulder_Y,Left_Shoulder_Confidence,Right_Shoulder_X,Right_Shoulder_Y,Right_Shoulder_Confidence,Left_Elbow_X,Left_Elbow_Y,Left_Elbow_Confidence,Right_Elbow_X,Right_Elbow_Y,Right_Elbow_Confidence,Left_Wrist_X,Left_Wrist_Y,Left_Wrist_Confidence,Right_Wrist_X,Right_Wrist_Y,Right_Wrist_Confidence,Left_Hip_X,Left_Hip_Y,Left_Hip_Confidence,Right_Hip_X,Right_Hip_Y,Right_Hip_Confidence,Left_Knee_X,Left_Knee_Y,Left_Knee_Confidence,Right_Knee_X,Right_Knee_Y,Right_Knee_Confidence,Left_Ankle_X,Left_Ankle_Y,Left_Ankle_Confidence,Right_Ankle_X,Right_Ankle_Y,Right_Ankle_Confidence
C:\miniproject\dataset\B_L_GB\1710.jpg,B_L_GB,0.3623571,0.41188663,0.36195722,0.35498405,0.40566492,0.22044055,0.355358,0.41468334,0.2753692,0.3628786,0.38941687,0.5077071,0.35861495,0.41808447,0.53743994,0.39910856,0.37127,0.58068043,0.3953106,0.44039467,0.6119762,0.46071813,0.3698803,0.41792348,0.44101205,0.45101106,0.35333765,0.485571,0.3896751,0.2911095,0.48086348,0.44959655,0.25796217,0.49811214,0.3893052,0.47515005,0.49918416,0.43490538,0.53962976,0.5667703,0.3927871,0.53774697,0.57859766,0.4387141,0.47615027,0.6501848,0.3954936,0.3091993,0.67132026,0.4362962,0.32572362
C:\miniproject\dataset\B_L_GB\1711.jpg,B_L_GB,0.36072603,0.41641974,0.34231183,0.3547463,0.4061694,0.30200738,0.3562734,0.41888568,0.3670221,0.3605743,0.3916875,0.54929835,0.35685837,0.41894138,0.5354381,0.3967818,0.37192917,0.56454754,0.39295945,0.44272572,0.6527639,0.4600869,0.3687795,0.36882102,0.43815628,0.4540696,0.43130606,0.4858253,0.38376158,0.19109794,0.47925982,0.44610497,0.32620928,0.5011433,0.39010575,0.57710475,0.49933937,0.43669045,0.508198,0.5701381,0.3924753,0.59414405,0.57910496,0.4404227,0.5728466,0.6477238,0.39394847,0.2719636,0.6648908,0.43447548,0.39060438
C:\miniproject\dataset\B_L_GB\1712.jpg,B_L_GB,0.35861728,0.4143674,0.3872533,0.34932575,0.40985125,0.39018264,0.3518008,0.4195916,0.4431991,0.35623708,0.39439613,0.5980378,0.35272327,0.419791,0.54766375,0.39402837,0.37209672,0.5156274,0.39074224,0.44062635,0.6017146,0.45650908,0.36744073,0.362711,0.43626627,0.45353687,0.40664226,0.4739119,0.3859895,0.26657277,0.4727017,0.44894662,0.33699316,0.49655324,0.3898537,0.5870694,0.4960972,0.4358935,0.55655986,0.5690499,0.39044172,0.5129216,0.57751775,0.43921006,0.42293876,0.63828266,0.38863567,0.31202972,0.66416717,0.43821776,0.4018648
C:\miniproject\dataset\B_L_GB\1713.jpg,B_L_GB,0.356838,0.42026502,0.3006766,0.3506166,0.40959588,0.33199078,0.35261843,0.42121527,0.5104474,0.35665044,0.39479452,0.5792096,0.35295156,0.42065415,0.56227416,0.39441594,0.37586358,0.55538,0.39049113,0.44155785,0.58286905,0.4560438,0.3679797,0.36152872,0.4357194,0.4544237,0.4290936,0.476975,0.38896027,0.26174605,0.47709018,0.44936714,0.3910328,0.49569523,0.38932142,0.5652082,0.49588972,0.43667892,0.53135103,0.5702879,0.39087814,0.5254746,0.5785832,0.43909875,0.5196736,0.64633113,0.39513457,0.20349076,0.66741586,0.43886763,0.4060417
C:\miniproject\dataset\B_L_GB\1714.jpg,B_L_GB,0.35637122,0.4164089,0.2852502,0.34956154,0.40827468,0.40677667,0.3524204,0.41931885,0.45715383,0.35602963,0.39392895,0.6070003,0.35274518,0.42080536,0.60264593,0.39399567,0.37203494,0.51510304,0.39045608,0.44270924,0.5938409,0.45683572,0.3677182,0.39331478,0.4387384,0.45563424,0.4177546,0.47786963,0.38827646,0.2849617,0.4797352,0.44981062,0.38296124,0.49789384,0.38916785,0.576001,0.4975097,0.43317923,0.43144837,0.5670529,0.39105016,0.552315,0.58110416,0.4397714,0.50737244,0.64807606,0.3927372,0.27568752,0.66797924,0.43904206,0.4479914
C:\miniproject\dataset\B_L_GB\1715.jpg,B_L_GB,0.35943457,0.41161773,0.38043612,0.34942198,0.40779266,0.431086,0.35150978,0.41844922,0.42056084,0.35714418,0.39471942,0.6073954,0.35270324,0.42128354,0.6100238,0.39417556,0.37298176,0.5623367,0.39027354,0.4442515,0.598019,0.45729238,0.3677272,0.39805108,0.44170082,0.45312488,0.3791421,0.479072,0.39490923,0.2940869,0.48117,0.44784474,0.36838332,0.49857017,0.39180148,0.6118701,0.49718496,0.4355085,0.45892498,0.5716761,0.3930446,0.5333535,0.5825126,0.44060412,0.48722717,0.64826286,0.39295986,0.28840733,0.6695401,0.43961924,0.44909093
C:\miniproject\dataset\B_L_GB\1716.jpg,B_L_GB,0.3556021,0.41632414,0.27185845,0.3495867,0.4082942,0.38733763,0.35168234,0.41886732,0.44225812,0.35635492,0.3928661,0.5771629,0.35238022,0.42006788,0.59413946,0.3941998,0.3716065,0.508115,0.38952532,0.4409835,0.5645612,0.4567991,0.36859554,0.42132112,0.43782887,0.4530067,0.40333518,0.47892383,0.38984615,0.26134953,0.47960564,0.44735956,0.36065525,0.49702048,0.39012554,0.5895968,0.49619058,0.43358362,0.44922,0.57104063,0.39214584,0.54129994,0.5810963,0.4410199,0.49796838,0.64890987,0.3942061,0.26340544,0.6706708,0.44174895,0.50776935
C:\miniproject\dataset\B_L_GB\1717.jpg,B_L_GB,0.35626906,0.41941446,0.28227505,0.35106874,0.40906182,0.30740413,0.35300943,0.42183185,0.51249164,0.35645673,0.39520568,0.6461495,0.35294327,0.42499518,0.6755648,0.39202923,0.3718593,0.45586342,0.38880143,0.44267103,0.5753301,0.45540702,0.36769015,0.38808605,0.4351821,0.45465317,0.47345975,0.4726822,0.39700523,0.27164343,0.47170776,0.44945338,0.38498744,0.49396828,0.39010337,0.60781884,0.4943962,0.43448868,0.46046972,0.5696113,0.39148867,0.53027904,0.57727456,0.44353762,0.61594003,0.6392729,0.38345876,0.31635693,0.66950506,0.44650832,0.50751853
C:\miniproject\dataset\B_L_GB\1718.jpg,B_L_GB,0.35350266,0.4185508,0.36780578,0.34535939,0.41083294,0.31342378,0.34786212,0.42106256,0.4873227,0.35409534,0.39495027,0.67884654,0.35048008,0.42290044,0.64994854,0.39073953,0.37407854,0.4719497,0.38692942,0.44617108,0.5957158,0.45495865,0.36809006,0.39854425,0.43354613,0.45935547,0.53429794,0.47636124,0.3966586,0.22837935,0.48268664,0.45577455,0.4047936,0.49579445,0.39218506,0.6498845,0.49485266,0.43667892,0.49866855,0.5722219,0.3964343,0.58583164,0.5788025,0.44734675,0.59501714,0.64240706,0.39475453,0.37649456,0.6640171,0.4496174,0.5848453
C:\miniproject\dataset\B_L_GB\1719.jpg,B_L_GB,0.35840666,0.42014202,0.34859225,0.34659603,0.41448322,0.38667378,0.34941584,0.42533666,0.5806361,0.35529774,0.39970925,0.673064,0.3518312,0.43154296,0.76735467,0.39132327,0.38186353,0.5255336,0.38732955,0.45318538,0.6155515,0.45429212,0.37322038,0.5148386,0.43046024,0.46594468,0.5084629,0.47727486,0.39569873,0.1975886,0.46832976,0.46360087,0.41860196,0.4933277,0.39924967,0.6697114,0.49269938,0.44183743,0.57752365,0.56765497,0.39888197,0.6004552,0.5792313,0.45681468,0.46943378,0.63575613,0.38942736,0.36471707,0.6659348,0.45617568,0.47210538
C:\miniproject\dataset\B_L_GB\1720.jpg,B_L_GB,0.35609874,0.42282906,0.36927515,0.34488636,0.4178155,0.42006218,0.34710664,0.42850885,0.3727208,0.3541633,0.40347707,0.4674717,0.35110572,0.43571192,0.628701,0.39223403,0.38780227,0.5562253,0.38467127,0.45199725,0.5679363,0.44863585,0.38413695,0.38785392,0.42959836,0.46565732,0.440833,0.48213387,0.40223622,0.17665194,0.4715451,0.4682836,0.45437118,0.49466488,0.40127492,0.5227939,0.49344653,0.447171,0.619318,0.56621075,0.40090442,0.57444584,0.57796687,0.45794466,0.57781273,0.6378865,0.38316643,0.39917696,0.66988826,0.4626964,0.56959534
C:\miniproject\dataset\B_L_GB\1721.jpg,B_L_GB,0.35679543,0.43112916,0.38456994,0.34859574,0.42488647,0.2922,0.35063347,0.43478954,0.43699494,0.35591817,0.4112629,0.6628779,0.35187715,0.43645123,0.6165055,0.39331856,0.39249682,0.5817617,0.38859206,0.45849752,0.5543743,0.45160648,0.3900463,0.42773002,0.43490094,0.47517365,0.5487553,0.4771739,0.41449985,0.19606908,0.47160804,0.4749012,0.44534212,0.49633583,0.4071502,0.6346589,0.49612546,0.4516111,0.5487373,0.57262063,0.41232288,0.4485659,0.58176404,0.46174186,0.50992644,0.64302105,0.3899063,0.41568685,0.67437667,0.4682402,0.32442316
C:\miniproject\dataset\B_L_GB\1722.jpg,B_L_GB,0.35973227,0.42964298,0.24672766,0.35190177,0.4250087,0.2986886,0.3538264,0.43718478,0.48605788,0.3587067,0.41439307,0.6073302,0.3557541,0.44407275,0.689967,0.3948421,0.39358863,0.66250885,0.39075616,0.4634217,0.562035,0.45591548,0.39087257,0.4622332,0.43446532,0.48160523,0.5239056,0.4842398,0.4038142,0.22193052,0.46847212,0.478045,0.41408932,0.4995489,0.41395885,0.6344148,0.49669662,0.4587765,0.55788714,0.57326984,0.41641206,0.4363982,0.5794489,0.4688852,0.5254486,0.6434186,0.40443698,0.37798625,0.67118204,0.47679606,0.47606176
C:\miniproject\dataset\B_L_GB\1723.jpg,B_L_GB,0.36095065,0.4409005,0.35971144,0.35273844,0.43566743,0.40995607,0.354134,0.44502285,0.4484559,0.3609994,0.42453992,0.5002099,0.3560112,0.4518794,0.5224127,0.39334968,0.40581793,0.56128377,0.38683802,0.47496295,0.5252636,0.45516944,0.4036654,0.3644538,0.43092808,0.48394307,0.41850942,0.4784425,0.42769963,0.24937724,0.4638981,0.48329604,0.43832454,0.49592677,0.426342,0.6724892,0.49254546,0.46993372,0.56700647,0.5749956,0.42835745,0.5493135,0.5796385,0.47873396,0.6023682,0.65145034,0.43688032,0.22801678,0.6714089,0.48385414,0.40918034
C:\miniproject\dataset\B_L_GB\1724.jpg,B_L_GB,0.35916597,0.45991397,0.39214373,0.3490673,0.45393744,0.42528534,0.3507259,0.46561006,0.4013123,0.3545917,0.43520826,0.5413275,0.35288578,0.47022793,0.5740004,0.39182147,0.4144151,0.43686274,0.38480008,0.49081525,0.6315432,0.44823468,0.4139159,0.47958633,0.42658454,0.50213885,0.4247855,0.4732647,0.437429,0.24757059,0.45472378,0.4881085,0.40372494,0.49056613,0.43625754,0.5284805,0.48974645,0.4808023,0.632832,0.56187916,0.43680847,0.5022501,0.5733513,0.4912144,0.54903555,0.6400485,0.44015127,0.19546717,0.66768485,0.49709046,0.66664255
C:\miniproject\dataset\B_L_GB\1725.jpg,B_L_GB,0.3580491,0.4712164,0.40540066,0.3457967,0.46609983,0.46088302,0.34967068,0.4771967,0.4354146,0.34971732,0.45051065,0.65152425,0.35100627,0.48220322,0.6290871,0.3872044,0.4256122,0.7840099,0.38190228,0.50454956,0.6694703,0.44101852,0.42230085,0.534105,0.41807297,0.51525,0.4783977,0.47148326,0.44156256,0.24033882,0.45114267,0.5005709,0.36939123,0.48390383,0.44653186,0.3824936,0.4860447,0.49167547,0.62961155,0.55782396,0.4479499,0.49450022,0.56806237,0.50171006,0.5276816,0.63022864,0.44261053,0.3784856,0.66276723,0.5065405,0.7109077
C:\miniproject\dataset\B_L_GB\1726.jpg,B_L_GB,0.3439081,0.47785392,0.34547254,0.3359772,0.46839082,0.33853963,0.33874393,0.4820813,0.47914523,0.342113,0.45746562,0.58711773,0.3400362,0.4838443,0.5507833,0.377625,0.4352884,0.53561205,0.37419328,0.5166846,0.50644946,0.4358823,0.43268713,0.35208422,0.41493067,0.52325773,0.46541893,0.46699664,0.4545615,0.33254868,0.45882317,0.5051205,0.43210295,0.4844187,0.4589904,0.6452048,0.48287168,0.4979265,0.5538927,0.55676854,0.45895684,0.5086621,0.56674707,0.513094,0.4659692,0.63288444,0.45449919,0.2822741,0.66131955,0.5139427,0.4749224
C:\miniproject\dataset\B_L_GB\1727.jpg,B_L_GB,0.33927122,0.49194708,0.41733542,0.32942942,0.48470253,0.3745216,0.33034185,0.49765143,0.34620768,0.33861232,0.46538675,0.47821477,0.33695754,0.50011045,0.5904154,0.3775612,0.44451427,0.5763863,0.37113258,0.5200625,0.49756223,0.43749145,0.4446676,0.43261948,0.41685227,0.5302783,0.40678984,0.4604224,0.47182718,0.3021546,0.45766404,0.5215319,0.48155248,0.48238644,0.4666724,0.510689,0.4852276,0.5072309,0.5668645,0.553359,0.46503237,0.45821774,0.57203966,0.521406,0.470273,0.6220477,0.44504672,0.38224688,0.66330326,0.52568,0.6097243
C:\miniproject\dataset\B_L_GB\1728.jpg,B_L_GB,0.34130368,0.49792662,0.38081,0.32855138,0.49151158,0.39636305,0.33138087,0.50125617,0.5524034,0.3377239,0.47427177,0.69861686,0.3355006,0.49951816,0.6317332,0.37889224,0.44998398,0.5318222,0.3720117,0.52645665,0.50294274,0.43442273,0.4507695,0.32662416,0.41633105,0.54351866,0.46640182,0.4630952,0.47499746,0.33032584,0.44941416,0.52728516,0.3930718,0.48244795,0.47022128,0.5168005,0.48531657,0.51280135,0.5564281,0.5583275,0.47077096,0.42262015,0.56872344,0.5252267,0.5547688,0.62742525,0.4483089,0.44337872,0.66343117,0.53012854,0.5951064
C:\miniproject\dataset\B_L_GB\1729.jpg,B_L_GB,0.34579647,0.50497913,0.4637395,0.33817434,0.5004479,0.4371795,0.33956772,0.50863236,0.51308155,0.34587055,0.4819041,0.5476307,0.34480935,0.51512486,0.5306815,0.38628632,0.46345836,0.7561881,0.37572768,0.5361193,0.54712933,0.4424491,0.46206817,0.47309285,0.41511896,0.5544926,0.48981223,0.46220076,0.47821733,0.44484764,0.4483822,0.53470993,0.49227843,0.48456326,0.47844762,0.4510429,0.4876479,0.52052414,0.644116,0.5634693,0.48567072,0.44850567,0.5690132,0.53287816,0.59782183,0.6361294,0.48342556,0.3397874,0.6631824,0.5398447,0.6426746
C:\miniproject\dataset\B_L_GB\1730.jpg,B_L_GB,0.35247308,0.509137,0.34278885,0.34244564,0.50633126,0.41161296,0.3431739,0.5155806,0.47767007,0.35055074,0.49521542,0.75182486,0.3467384,0.52248484,0.6984407,0.38649142,0.47441378,0.7308602,0.38046747,0.54531014,0.67685115,0.445723,0.47279182,0.43697914,0.4214302,0.56010544,0.5412623,0.45686466,0.48180655,0.35098785,0.45129082,0.5416305,0.41537723,0.48212528,0.48847383,0.543722,0.4861222,0.52929616,0.5736016,0.5628031,0.4878252,0.43900812,0.5720254,0.53978,0.69037485,0.6327266,0.46706355,0.42232943,0.66915935,0.54425204,0.58046323
C:\miniproject\dataset\B_L_GB\1731.jpg,B_L_GB,0.35414955,0.5174113,0.394088,0.34367946,0.5135339,0.43481883,0.34540713,0.5246985,0.36315396,0.35150117,0.49904272,0.5831346,0.34752524,0.52623445,0.5380086,0.3888741,0.48277363,0.6084028,0.38236576,0.5524074,0.5417877,0.4486937,0.47523844,0.4644598,0.4253154,0.5659599,0.53531134,0.45705974,0.49349663,0.27024174,0.4570043,0.54629946,0.3599685,0.48609042,0.49572322,0.6151609,0.48943225,0.5350548,0.6178679,0.56598794,0.49206412,0.572429,0.57889384,0.5470104,0.53757644,0.6339914,0.47221386,0.5107629,0.6748012,0.54949665,0.4649673
C:\miniproject\dataset\B_L_GB\1732.jpg,B_L_GB,0.35412645,0.5265396,0.38616,0.3456315,0.5196473,0.32513332,0.34760728,0.53059256,0.50931007,0.3551975,0.50703716,0.70393866,0.3514914,0.5353691,0.72965306,0.39192864,0.4872801,0.6097144,0.38659498,0.55482274,0.5692044,0.45233554,0.48210034,0.39336672,0.43280274,0.57013613,0.52826625,0.46031243,0.49861544,0.28827897,0.4566927,0.55105704,0.27716604,0.48931986,0.49929562,0.5543643,0.4918129,0.5400367,0.64122105,0.5695368,0.50108737,0.46646106,0.5804222,0.55137014,0.52273846,0.63529384,0.4751481,0.3194356,0.6778258,0.55678666,0.5935262
C:\miniproject\dataset\B_L_GB\1733.jpg,B_L_GB,0.35573384,0.5279971,0.3605228,0.34761915,0.5214763,0.3386704,0.35097176,0.5335927,0.5410308,0.3562159,0.5090277,0.662237,0.35538653,0.5413593,0.72958064,0.3942884,0.48923123,0.5367402,0.38911456,0.5592627,0.52377176,0.45310706,0.4833189,0.42029065,0.43224674,0.5727106,0.48990658,0.4679524,0.5075297,0.3256316,0.46534225,0.55695736,0.37764102,0.49254748,0.50041604,0.6137765,0.49589777,0.5437746,0.6347495,0.5667756,0.49851513,0.5370665,0.5823522,0.5536164,0.5386587,0.63999903,0.4779915,0.39362326,0.68458706,0.5594134,0.60944444
C:\miniproject\dataset\B_L_GB\1734.jpg,B_L_GB,0.3601456,0.5268219,0.28607985,0.35482955,0.52082175,0.347029,0.35693228,0.5337126,0.4451132,0.36211133,0.50862926,0.54992974,0.36057454,0.54126704,0.57139623,0.3961007,0.4886159,0.71485245,0.3898141,0.56355125,0.4652697,0.46082187,0.4870395,0.5228952,0.43349016,0.5764078,0.49947712,0.46729407,0.50653994,0.3174989,0.46503022,0.55970365,0.3257135,0.49446484,0.503558,0.67875856,0.49682403,0.5464902,0.55704266,0.5728638,0.50241,0.5616517,0.5894219,0.5573705,0.57222176,0.6414217,0.47906974,0.3908422,0.69216055,0.562566,0.5484457
C:\miniproject\dataset\B_L_GB\1735.jpg,B_L_GB,0.35828424,0.5294762,0.27087623,0.3510837,0.5235471,0.3577983,0.35434163,0.53511417,0.43883777,0.36034372,0.51087683,0.45307,0.36034316,0.54302317,0.53391385,0.39847165,0.49602067,0.723642,0.39476863,0.5614613,0.60842067,0.46338886,0.49013722,0.4939726,0.44325915,0.57481533,0.51523113,0.4676618,0.51139313,0.27166197,0.47192174,0.56525224,0.20193052,0.49898878,0.50627387,0.68219054,0.4997966,0.5462918,0.5068327,0.57754624,0.50641483,0.5658639,0.5886448,0.5620066,0.48608044,0.6423585,0.48552936,0.4980461,0.6951999,0.56678593,0.5124445
C:\miniproject\dataset\B_L_GB\1736.jpg,B_L_GB,0.36051595,0.53608876,0.3302884,0.35391605,0.52933383,0.37675565,0.3562095,0.5412185,0.3764875,0.36135617,0.513005,0.39956123,0.3586293,0.54422104,0.45758092,0.397115,0.49601716,0.6841264,0.39264965,0.56562227,0.6424119,0.46150792,0.49595693,0.36485264,0.4393767,0.5827871,0.5243786,0.46289316,0.5164642,0.27706188,0.46472225,0.5642857,0.39352196,0.4978701,0.5109127,0.6707576,0.4989246,0.5562431,0.59081703,0.574766,0.5095095,0.47160813,0.59074104,0.5667251,0.57186854,0.6430196,0.49359477,0.42361245,0.691555,0.56850386,0.5941881
C:\miniproject\dataset\B_L_GB\1737.jpg,B_L_GB,0.35796338,0.53592885,0.361617,0.3473658,0.5305494,0.43605614,0.34975588,0.5430794,0.40734702,0.35657343,0.51755476,0.60335636,0.3540091,0.5494926,0.6702712,0.39370593,0.49696895,0.5434554,0.39046738,0.5758842,0.49936712,0.4623363,0.48942068,0.4669928,0.44241095,0.58671826,0.525718,0.4834472,0.5160112,0.24920405,0.476175,0.57377523,0.3067448,0.4975972,0.5124922,0.5831041,0.49811763,0.559802,0.49181286,0.5737673,0.51422876,0.5894493,0.5885913,0.57180905,0.64931804,0.64341205,0.49481425,0.33438417,0.69119793,0.57566977,0.62227684
